Method,Threads,HashBits,Throughput(MT/s)
concurrent,1,1,13.81
concurrent,1,2,14.73
concurrent,1,3,15.90
concurrent,1,4,16.55
concurrent,1,5,17.11
concurrent,1,6,15.96
concurrent,1,7,16.00
concurrent,1,8,16.02
concurrent,1,9,15.89
concurrent,1,10,15.71
concurrent,1,11,15.23
concurrent,1,12,14.59
concurrent,1,13,14.06
concurrent,1,14,13.10
concurrent,1,15,11.84
concurrent,1,16,10.74
concurrent,1,17,9.72
concurrent,1,18,6.78
concurrent,2,1,4.87
concurrent,2,2,5.53
concurrent,2,3,4.84
concurrent,2,4,5.17
concurrent,2,5,6.15
concurrent,2,6,7.52
concurrent,2,7,9.50
concurrent,2,8,11.06
concurrent,2,9,12.44
concurrent,2,10,13.17
concurrent,2,11,13.46
concurrent,2,12,13.60
concurrent,2,13,13.59
concurrent,2,14,13.38
concurrent,2,15,12.77
concurrent,2,16,11.87
concurrent,2,17,11.14
concurrent,2,18,9.83
concurrent,4,1,5.14
concurrent,4,2,5.13
concurrent,4,3,5.10
concurrent,4,4,5.65
concurrent,4,5,6.72
concurrent,4,6,8.51
concurrent,4,7,11.52
concurrent,4,8,14.28
concurrent,4,9,17.92
concurrent,4,10,20.55
concurrent,4,11,23.17
concurrent,4,12,23.85
concurrent,4,13,24.36
concurrent,4,14,24.22
concurrent,4,15,23.57
concurrent,4,16,22.00
concurrent,4,17,20.14
concurrent,4,18,18.76
concurrent,8,1,4.14
concurrent,8,2,3.93
concurrent,8,3,4.40
concurrent,8,4,5.48
concurrent,8,5,6.92
concurrent,8,6,9.99
concurrent,8,7,13.66
concurrent,8,8,17.49
concurrent,8,9,25.22
concurrent,8,10,31.46
concurrent,8,11,39.12
concurrent,8,12,43.86
concurrent,8,13,45.23
concurrent,8,14,45.52
concurrent,8,15,44.47
concurrent,8,16,41.79
concurrent,8,17,36.61
concurrent,8,18,35.39
concurrent,16,1,3.78
concurrent,16,2,3.42
concurrent,16,3,4.27
concurrent,16,4,5.72
concurrent,16,5,7.73
concurrent,16,6,10.70
concurrent,16,7,16.34
concurrent,16,8,23.01
concurrent,16,9,32.93
concurrent,16,10,45.75
concurrent,16,11,62.90
concurrent,16,12,77.95
concurrent,16,13,82.79
concurrent,16,14,82.75
concurrent,16,15,75.91
concurrent,16,16,59.43
concurrent,16,17,41.41
concurrent,16,18,48.18
concurrent,32,1,3.04
concurrent,32,2,3.07
concurrent,32,3,4.12
concurrent,32,4,6.02
concurrent,32,5,8.66
concurrent,32,6,13.25
concurrent,32,7,21.32
concurrent,32,8,31.81
concurrent,32,9,47.01
concurrent,32,10,65.47
concurrent,32,11,87.31
concurrent,32,12,104.13
concurrent,32,13,110.33
concurrent,32,14,108.74
concurrent,32,15,95.40
concurrent,32,16,71.88
concurrent,32,17,49.20
concurrent,32,18,56.87

